codigo;descripcion
K40.3;HERNIA INGUINAL UNILATERAL O NO ESPECIFICADA, CON OBSTRUCCION, SIN GANGRENA
I62.9;HEMORRAGIA INTRACRANEAL (NO TRAUMATICA), NO ESPECIFICADA
I64;ACCIDENTE VASCULAR ENCEFALICO AGUDO, NO ESPECIFICADO COMO HEMORRAGICO O ISQUEMICO
A41.9;SEPSIS, NO ESPECIFICADA
I20.0;ANGINA INESTABLE
I21;INFARTO AGUDO DEL MIOCARDIO
I25.1;ENFERMEDAD ATEROSCLEROTICA DEL CORAZÓN
C18.9;TUMOR MALIGNO DEL COLON, PARTE NO ESPECIFICADA
K56.6;OTRAS OBSTRUCCIONES INTESTINALES Y LAS NO ESPECIFICADAS
E83.5;TRASTORNOS DEL METABOLISMO DEL CALCIO
I61;HEMORRAGIA INTRAENCEFALICA
I63.9;INFARTO CEREBRAL, NO ESPECIFICADO
X64;ENVENENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR, Y EXPOSICION A OTRAS DROGAS, MEDICAMENTOS Y SUSTANCIAS BIOLOGICAS, Y LOS NO ESPECIFICADOS
N39.0;INFECCION DE VÍAS URINARIAS, SITIO NO ESPECIFICADO
I50.9;INSUFICIENCIA CARDIACA, NO ESPECIFICADA
G04.9;ENCEFALITIS, MIELITIS Y ENCEFALOMIELITIS, NO ESPECIFICADAS
G06.0;ABSCESO Y GRANULOMA INTRACRANEAL
J18.9;NEUMONIA, NO ESPECIFICADA
E16.2;HIPOGLICEMIA, NO ESPECIFICADA
N19;INSUFICIENCIA RENAL NO ESPECIFICADA
K92.2;HEMORRAGIA GASTROINTESTINAL, NO ESPECIFICADA
R40.2;COMA, NO ESPECIFICADO
S06.9;TRAUMATISMO INTRACRANEAL, NO ESPECIFICADO
R57.0;CHOQUE CARDIOGENICO
I20.9;ANGINA DE PECHO, NO ESPECIFICADA
I21.9;INFARTO AGUDO DEL MIOCARDIO, SIN OTRA ESPECIFICACION
R26.8;OTRAS ANORMALIDADES DE LA MARCHA Y DE LA MOVILIDAD Y LAS NO ESPECIFICADAS
I26.9;EMBOLIA PULMÓNAR SIN MENCION DE CORAZÓN PULMÓNAR AGUDO
